Utbildningsanordnare, administrativ enhet;Administrativ enhet, besöksadress;Administrativ enhet, postadress;Administrativ enhet, postnummer;Administrativ enhet, postort;Administrativ enhet, e-post;Telefonnummer;Utbildningsnummer;Utbildningsnamn;Studieort;Studieform;Status;Beviljade platser;Antal Studerande
East Sweden Business School AB;Tullhusgatan 11;Brukareg 8;58336;Linköping;info@esbs.se;703510564;YH02345;Arbetsmiljöingenjör - inriktning bygg/anläggning och industri;Norrköping;Bunden;Beviljat;20;
East Sweden Business School AB;Tullhusgatan 11;Brukareg 8;58336;Linköping;info@esbs.se;703510564;YH02487;Inköp av tekniska anläggningar och utrustning för energi- och industriändamål;Norrköping;Distans;Startat;140;22
East Sweden Business School AB;Tullhusgatan 11;Brukareg 8;58336;Linköping;info@esbs.se;703510564;YH02487;Inköp av tekniska anläggningar och utrustning för energi- och industriändamål;Norrköping;Distans;Startat;140;7
East Sweden Business School AB;Tullhusgatan 11;Brukareg 8;58336;Linköping;info@esbs.se;703510564;YH02509;Markexploatering och fördjupad entreprenadjuridik;Norrköping;Distans;Startat;140;28
East Sweden Business School AB;Tullhusgatan 11;Brukareg 8;58336;Linköping;info@esbs.se;703510564;YH02509;Markexploatering och fördjupad entreprenadjuridik;Norrköping;Distans;Startat;140;6
EC Utbildning AB Göteborg;Pumpgatan 1;Pumpgatan 1;41755;Göteborg;info@ecutbildning.se;040-6416300;YH01076;Data Scientist;Göteborg;Bunden;Beviljat;35;
EC Utbildning AB Göteborg;Pumpgatan 1;Pumpgatan 1;41755;Göteborg;info@ecutbildning.se;040-6416300;YH01716;IT-säkerhetsutvecklare;Göteborg;Bunden;Beviljat;35;
EC Utbildning AB Göteborg;Pumpgatan 1;Pumpgatan 1;41755;Göteborg;info@ecutbildning.se;040-6416300;YH02638;Testning för utvecklare;Göteborg;Distans;Startat;105;36
EC Utbildning AB Halmstad;Stationsgatan 29;Stationsgatan 39;30250;Halmstad;info@ecutbildning.se;040-6416300;YH01161;Byggprojektör BIM;Halmstad;Bunden;Beviljat;32;
EC Utbildning AB Halmstad;Stationsgatan 29;Stationsgatan 39;30250;Halmstad;info@ecutbildning.se;040-6416300;YH02440;IT-säkerhetsutvecklare;Halmstad;Bunden;Startat;35;41
EC Utbildning AB Helsingborg;Södergatan 78;Södergatan 78;25227;Helsingborg;info@ecutbildning.se;040-6416300;YH00246;Webbutvecklare inom .NET;Helsingborg;Bunden;Beviljat;35;
EC Utbildning AB Helsingborg;Södergatan 78;Södergatan 78;25227;Helsingborg;info@ecutbildning.se;040-6416300;YH01458;Data Scientist;Helsingborg, Malmö;Bunden;Beviljat;35;
EC Utbildning AB Malmö;Östra Förstadsgatan 46;Östra Förstadsgatan 46;21212;Malmö;info@ecutbildning.se;040-6416300;YH00846;Technical Operations Specialist;Malmö;Bunden;Beviljat;35;
EC Utbildning AB Malmö;Östra Förstadsgatan 46;Östra Förstadsgatan 46;21212;Malmö;info@ecutbildning.se;040-6416300;YH01160;Mjukvarutestare;Malmö;Bunden;Beviljat;32;
EC Utbildning AB Malmö;Östra Förstadsgatan 46;Östra Förstadsgatan 46;21212;Malmö;info@ecutbildning.se;040-6416300;YH01180;UX Designer;Helsingborg, Malmö;Bunden;Beviljat;35;
EC Utbildning AB Malmö;Östra Förstadsgatan 46;Östra Förstadsgatan 46;21212;Malmö;info@ecutbildning.se;040-6416300;YH02298;Testautomatisering med Continuous Integration;Malmö;Distans;Startat;70;40
EC Utbildning AB Stockholm;Drottningholmsvägen 37;Drottningholmsvägen 37;11242;Stockholm;info@ecutbildning.se;040-6416300;YH00476;Byggprojektör BIM;Solna, Stockholm;Bunden;Beviljat;32;
EC Utbildning AB Stockholm;Drottningholmsvägen 37;Drottningholmsvägen 37;11242;Stockholm;info@ecutbildning.se;040-6416300;YH00761;CAD-konstruktör;Stockholm;Bunden;Beviljat;35;
EC Utbildning AB Stockholm;Drottningholmsvägen 37;Drottningholmsvägen 37;11242;Stockholm;info@ecutbildning.se;040-6416300;YH00849;Technical Operations Specialist;Stockholm;Bunden;Beviljat;35;
EC Utbildning AB Stockholm;Drottningholmsvägen 37;Drottningholmsvägen 37;11242;Stockholm;info@ecutbildning.se;040-6416300;YH02407;Mjukvarutestare;Solna;Bunden;Startat;35;42
EC Utbildning AB Västerås;Pilgatan 2;Pilgatan 2;72130;Västerås;info@ecutbildning.se;040-6416300;YH00165;Frontendutvecklare;Västerås;Bunden;Beviljat;35;
EC Utbildning AB Växjö;Storgatan 82A;Storgatan 82A;35246;Växjö;info@ecutbildning.se;040-6416300;YH00248;CAD-konstruktör;Växjö;Bunden;Beviljat;25;
EC Utbildning AB Växjö;Storgatan 82A;Storgatan 82A;35246;Växjö;info@ecutbildning.se;040-6416300;YH00800;Frontendutvecklare;Växjö;Distans;Startat;35;42
EC Utbildning AB Växjö;Storgatan 82A;Storgatan 82A;35246;Växjö;info@ecutbildning.se;040-6416300;YH00887;Javautvecklare;Växjö;Distans;Beviljat;35;
EC Utbildning AB Växjö;Storgatan 82A;Storgatan 82A;35246;Växjö;info@ecutbildning.se;040-6416300;YH01704;Cloud- och Infrastrukturspecialist;Växjö;Distans;Beviljat;28;
EC Utbildning AB Örebro;Stenbackevägen 6;Stenbackevägen 6;70225;Örebro;info@ecutbildning.se;040-641 63 00;YH00247;CAD-konstruktör;Örebro;Bunden;Beviljat;25;
EC Utbildning AB Örebro;Stenbackevägen 6;Stenbackevägen 6;70225;Örebro;info@ecutbildning.se;040-641 63 00;YH00789;Server- och virtualiseringsspecialist;Örebro;Bunden;Beviljat;35;
Edugrade AB;Håstaholmen 4;Håstaholmen 4;82442;Hudiksvall;info@edugrade.se;0650-55 34 30;YH00758;Network Engineer - Nätverksspecialist;Gävle, Hudiksvall, Örnsköldsvik;Bunden;Beviljat;35;
Edugrade AB;Håstaholmen 4;Håstaholmen 4;82442;Hudiksvall;info@edugrade.se;0650-55 34 30;YH00766;Cybersäkerhetstekniker - Etisk Hackare;Gävle, Hudiksvall, Örnsköldsvik;Bunden;Beviljat;35;
Edugrade AB;Håstaholmen 4;Håstaholmen 4;82442;Hudiksvall;info@edugrade.se;0650-55 34 30;YH01467;Agil Javautvecklare;Gävle;Distans;Beviljat;35;
Edugrade AB;Håstaholmen 4;Håstaholmen 4;82442;Hudiksvall;info@edugrade.se;0650-55 34 30;YH01468;Systemutvecklare .NET med AI-kompetens;Hudiksvall, Sundsvall, Örnsköldsvik;Bunden;Beviljat;35;
Edugrade AB;Håstaholmen 4;Håstaholmen 4;82442;Hudiksvall;info@edugrade.se;0650-55 34 30;YH01499;Fibertekniker med inriktning mastteknik/mobilnät;Hudiksvall;Bunden;Beviljat;20;
Edugrade AB;Håstaholmen 4;Håstaholmen 4;82442;Hudiksvall;info@edugrade.se;0650-55 34 30;YH02490;Etisk Hacking och Penetrationstestning;Hudiksvall;Distans;Startat;75;37
Edugrade AB;Håstaholmen 4;Håstaholmen 4;82442;Hudiksvall;info@edugrade.se;0650-55 34 30;YH02511;Cybersäkerhet enligt NIS2-direktivet: från teori till praktik;Sundsvall;Distans;Startat;100;36
Edugrade AB;Håstaholmen 4;Håstaholmen 4;82442;Hudiksvall;info@edugrade.se;0650-55 34 30;YH02661;3D CAD-konstruktör;Hudiksvall;Distans;Beviljat;32;
EdUP Group AB;Rörstrandsgatan 31;11341;11341;Stockholm;madleen.thyren@edup.se;703642373;YH02576;Förhindra välfärdsbrott i kommunen;Stockholm;Distans;Startat;0;43
Elevera;Tulegatan 41;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH02578;Arbetsmiljö och social hållbarhet;Stockholm;Distans;Startat;120;38
Enköpings kommun, Yrkeshögskolan i Enköping;Östra Järnvägsgatan 10;Östra Järnvägsgatan 10;74537;Enköping;anna.moller@enkoping.se;0171-627257;YH00460;Trädgårdsmästare;Enköping;Bunden;Startat;30;32
Enköpings kommun, Yrkeshögskolan i Enköping;Östra Järnvägsgatan 10;Östra Järnvägsgatan 10;74537;Enköping;anna.moller@enkoping.se;0171-627257;YH02441;IT-säkerhetsingenjör;Enköping;Bunden;Beviljat;30;
Enköpings kommun, Yrkeshögskolan i Enköping;Östra Järnvägsgatan 10;Östra Järnvägsgatan 10;74537;Enköping;anna.moller@enkoping.se;0171-627257;YH02673;Cirkulär odlingsutvecklare;Enköping;Bunden;Beviljat;30;
Eslövs Folkhögskola;Sturegatan 14;Sturegatan 14;24131;Eslöv;info@eslovsfhsk.se;0413-66300;YH01119;Socialpedagog;Eslöv;Bunden;Beviljat;27;
Eslövs kommun, Yrkeshögskolan i Eslöv;Östergatan 15;Östergatan 15;24139;Eslöv;yhmis@eslov.se;0413-62514;YH00367;Psykiatri- och Socialpsykiatrihandledare;Eslöv;Bunden;Beviljat;25;
Eslövs kommun, Yrkeshögskolan i Eslöv;Östergatan 15;Östergatan 15;24139;Eslöv;yhmis@eslov.se;0413-62514;YH01522;Produktionstekniker, inriktning ständiga förbättringar/Lean production;Eslöv;Distans;Beviljat;25;
Etec Teknikutbildning AB;Förrådsgatan 6;Förrådsgatan 6;57236;Oskarshamn;info@etecteknikutbildning.se;491761670;YH00346;Automationsingenjör för hållbar industri 4.0;Oskarshamn;Bunden;Beviljat;20;
Falköpings kommun, Lärcenter;Nils Ericsonsgatan 5;Kompetens- och arbetslivsförvaltningen Yh;52181;Falköping;kan@falkoping.se;0515-887100;YH00178;Guldsmed;Falköping;Bunden;Beviljat;10;
Fastighetsakademin Sverige AB;J A Wettergrens gata 14;J A Wettergrens gata 14;42130;Västra Frölunda;info@fastighetsakademin.se;031-734 11 60;YH00005;Fastighets- och energitekniker;Göteborg;Bunden;Beviljat;25;
Fastighetsakademin Sverige AB;J A Wettergrens gata 14;J A Wettergrens gata 14;42130;Västra Frölunda;info@fastighetsakademin.se;031-734 11 60;YH01004;Fastighetsförvaltare med teknisk inriktning;Göteborg;Bunden;Beviljat;35;
Finska folkhögskolans stiftelse;Spadegatan 1;Spadegatan 1;42465;Angered;info@finska.fhsk.se;031-3315066;YH00972;Socialpedagog;Angered;Bunden;Beviljat;20;
Flyinge AB;Kungsgården;Box 3;24729;Flyinge;info@flyinge.se;708597636;YH00377;Hovslagarutbildningen;Flyinge, Strömsholm, Wången;Bunden;Beviljat;35;
Flyinge AB;Kungsgården;Box 3;24729;Flyinge;info@flyinge.se;708597636;YH00648;Beridarutbildning;Flyinge;Bunden;Beviljat;12;
Folktandvården Västra Götalandsregionen, Tandsköterskeutbildningen;Medicinaregatan 12 E;Box 71 63;40233;Göteborg;ftv.fou.tandskutb@vgregion.se;010-4417711;YH00629;Tandsköterska;Uddevalla;Bunden;Beviljat;25;
Folktandvården Västra Götalandsregionen, Tandsköterskeutbildningen;Medicinaregatan 12 E;Box 71 63;40233;Göteborg;ftv.fou.tandskutb@vgregion.se;010-4417711;YH01041;Tandsköterska;Göteborg;Bunden;Beviljat;30;
Folktandvården Västra Götalandsregionen, Tandsköterskeutbildningen;Medicinaregatan 12 E;Box 71 63;40233;Göteborg;ftv.fou.tandskutb@vgregion.se;010-4417711;YH01041;Tandsköterska;Göteborg;Bunden;Beviljat;30;35
Folkuniversitetet - Kursverksamheten vid Lunds Universitet;Skomakaregatan 8;Box 2116;22350;Lund;yh.lund@folkuniversitetet.se;046-197700;YH00943;Läke- och livsmedelstekniker;Lund;Bunden;Beviljat;30;
Folkuniversitetet - Kursverksamheten vid Lunds Universitet;Skomakaregatan 8;Box 2116;22350;Lund;yh.lund@folkuniversitetet.se;046-197700;YH01360;Råvarukunskap och förädling av livsmedel;Lund;Distans;Startat;40;4
Folkuniversitetet - Kursverksamheten vid Lunds Universitet;Skomakaregatan 8;Box 2116;22350;Lund;yh.lund@folkuniversitetet.se;046-197700;YH01490;Stödpedagog inom funktionshinderområdet;Simrishamn;Distans;Beviljat;30;
Folkuniversitetet - Kursverksamheten vid Lunds Universitet;Skomakaregatan 8;Box 2116;22350;Lund;yh.lund@folkuniversitetet.se;046-197700;YH01604;Hållbar livsmedelsintraprenör;Lund;Distans;Beviljat;30;
Folkuniversitetet - Kursverksamheten vid Lunds Universitet;Skomakaregatan 8;Box 2116;22350;Lund;yh.lund@folkuniversitetet.se;046-197700;YH01769;Utvecklingsledare gröna näringar;Jönköping, Malmö, Stockholm;Distans;Beviljat;35;
Folkuniversitetet - Kursverksamheten vid Lunds Universitet;Skomakaregatan 8;Box 2116;22350;Lund;yh.lund@folkuniversitetet.se;046-197700;YH01779;UAS-pilot inom kategorin SPECIFIK;Ljungbyhed;Distans;Beviljat;20;
Folkuniversitetet - Kursverksamheten vid Lunds Universitet;Skomakaregatan 8;Box 2116;22350;Lund;yh.lund@folkuniversitetet.se;046-197700;YH02152;Funktionsnedsättningar och hälsa;Simrishamn;Distans;Startat;80;21
Folkuniversitetet - Kursverksamheten vid Lunds Universitet;Skomakaregatan 8;Box 2116;22350;Lund;yh.lund@folkuniversitetet.se;046-197700;YH02209;Kvalitet och miljö i livsmedel;Lund;Distans;Startat;40;7
Folkuniversitetet - Kursverksamheten vid Lunds Universitet;Skomakaregatan 8;Box 2116;22350;Lund;yh.lund@folkuniversitetet.se;046-197700;YH02364;Verksamhetsutvecklare blåa livsmedel;Lund;Distans;Beviljat;35;
Folkuniversitetet - Kursverksamheten vid Lunds Universitet;Skomakaregatan 8;Box 2116;22350;Lund;yh.lund@folkuniversitetet.se;046-197700;YH02709;Tekniker inom krossning, betong och asfalt;Arvika, Kalmar, Lund;Distans;Beviljat;20;
Folkuniversitetet - Kursverksamheten vid Lunds Universitet;Skomakaregatan 8;Box 2116;22350;Lund;yh.lund@folkuniversitetet.se;046-197700;YH02721;Ingenjör smarta elnät;Göteborg, Malmö;Distans;Beviljat;35;
Folkuniversitetet - Kursverksamheten vid Stockholms universitet;Kungstensgatan 45;Box 6901;10239;Stockholm;direkt@folkuniversitetet.se;08-789 42 00;YH00703;Drift- och fastighetstekniker;Jönköping, Södertälje;Bunden;Beviljat;25;
Folkuniversitetet - Kursverksamheten vid Stockholms universitet;Kungstensgatan 45;Box 6901;10239;Stockholm;direkt@folkuniversitetet.se;08-789 42 00;YH00723;Fastighetsförvaltare;Jönköping, Norrköping;Distans;Beviljat;35;
Folkuniversitetet - Kursverksamheten vid Stockholms universitet;Kungstensgatan 45;Box 6901;10239;Stockholm;direkt@folkuniversitetet.se;08-789 42 00;YH00831;Retuschör - Bilddesigner;Stockholm;Bunden;Beviljat;20;
Folkuniversitetet - Kursverksamheten vid Stockholms universitet;Kungstensgatan 45;Box 6901;10239;Stockholm;direkt@folkuniversitetet.se;08-789 42 00;YH01951;Rekryterare;Linköping;Distans;Beviljat;35;
Folkuniversitetet – Kursverksamheten vid Umeå Universitet;Nygatan 43;Nygatan 43;90330;Umeå;malin.pettersson@folkuniversitetet.se;090-711400;YH00042;VA-projektör;Gävle, Sundsvall, Umeå, Östersund;Bunden;Beviljat;20;
Folkuniversitetet – Kursverksamheten vid Umeå Universitet;Nygatan 43;Nygatan 43;90330;Umeå;malin.pettersson@folkuniversitetet.se;090-711400;YH00198;Socialpedagog;Östersund;Bunden;Beviljat;25;
Folkuniversitetet – Kursverksamheten vid Umeå Universitet;Nygatan 43;Nygatan 43;90330;Umeå;malin.pettersson@folkuniversitetet.se;090-711400;YH00631;Tandsköterska;Östersund;Bunden;Startat;20;24
Folkuniversitetet – Kursverksamheten vid Umeå Universitet;Nygatan 43;Nygatan 43;90330;Umeå;malin.pettersson@folkuniversitetet.se;090-711400;YH02187;Sprinkler-projektör;Umeå;Distans;Startat;60;26
Folkuniversitetet – Kursverksamheten vid Umeå Universitet;Nygatan 43;Nygatan 43;90330;Umeå;malin.pettersson@folkuniversitetet.se;090-711400;YH02372;Fastighet- och drifttekniker;Umeå;Distans;Beviljat;20;
Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitet;Bergsbrunnagatan 1;Bergsbrunnagatan 1;75323;Uppsala;info.uppsala@folkuniversitetet.se;018-680000;YH00065;Tandsköterska;Uppsala;Bunden;Beviljat;35;
Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitet;Bergsbrunnagatan 1;Bergsbrunnagatan 1;75323;Uppsala;info.uppsala@folkuniversitetet.se;018-680000;YH00066;Tandsköterska;Falun;Bunden;Beviljat;25;
Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitet;Bergsbrunnagatan 1;Bergsbrunnagatan 1;75323;Uppsala;info.uppsala@folkuniversitetet.se;018-680000;YH00227;Medicinsk vårdadministratör;Falun;Bunden;Beviljat;20;
Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitet;Bergsbrunnagatan 1;Bergsbrunnagatan 1;75323;Uppsala;info.uppsala@folkuniversitetet.se;018-680000;YH00310;Moln- och virtualiseringstekniker;Borlänge, Göteborg, Västerås;Bunden;Beviljat;35;
Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitet;Bergsbrunnagatan 1;Bergsbrunnagatan 1;75323;Uppsala;info.uppsala@folkuniversitetet.se;018-680000;YH00374;Avancerad GIS-användare ;Gävle;Distans;Beviljat;35;
Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitet;Bergsbrunnagatan 1;Bergsbrunnagatan 1;75323;Uppsala;info.uppsala@folkuniversitetet.se;018-680000;YH01157;Medicinsk vårdadministratör;Uppsala;Bunden;Beviljat;35;
Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitet;Bergsbrunnagatan 1;Bergsbrunnagatan 1;75323;Uppsala;info.uppsala@folkuniversitetet.se;018-680000;YH01600;Läke- och livsmedelstekniker;Uppsala;Bunden;Beviljat;20;
Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitet;Bergsbrunnagatan 1;Bergsbrunnagatan 1;75323;Uppsala;info.uppsala@folkuniversitetet.se;018-680000;YH01941;Optikerassistent med specialisering inom ögonhälsa;Uppsala;Bunden;Beviljat;30;
Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitet;Bergsbrunnagatan 1;Bergsbrunnagatan 1;75323;Uppsala;info.uppsala@folkuniversitetet.se;018-680000;YH01963;Servicetekniker, inriktning life science;Uppsala;Bunden;Beviljat;20;
Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitet;Bergsbrunnagatan 1;Bergsbrunnagatan 1;75323;Uppsala;info.uppsala@folkuniversitetet.se;018-680000;YH02108;Hälsa, prevention och rehabilitering;Uppsala;Distans;Startat;80;40
Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitet;Bergsbrunnagatan 1;Bergsbrunnagatan 1;75323;Uppsala;info.uppsala@folkuniversitetet.se;018-680000;YH02317;Existentiell hälsa i palliativ vård;Uppsala;Distans;Startat;80;40
Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitet;Bergsbrunnagatan 1;Bergsbrunnagatan 1;75323;Uppsala;info.uppsala@folkuniversitetet.se;018-680000;YH02612;Arbetsledarutbildning för sågverks och pappersindustrin;Eksjö, Gävle, Strängnäs, Umeå, Valbo;Distans;Startat;120;17
Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitet;Bergsbrunnagatan 1;Bergsbrunnagatan 1;75323;Uppsala;info.uppsala@folkuniversitetet.se;018-680000;YH02694;Projektör Järnväg;Borlänge, Göteborg, Luleå, Varberg, Örebro;Distans;Beviljat;30;
Folkuniversitetet Kursverksamheten vid Göteborgs universitet;Norra Allégatan 6;Box 2542;40317;Göteborg;yh.vast@folkuniversitetet.se;031-106500;YH00084;Drifttekniker kraft- värmeproduktion;Karlstad;Distans;Beviljat;20;
Folkuniversitetet Kursverksamheten vid Göteborgs universitet;Norra Allégatan 6;Box 2542;40317;Göteborg;yh.vast@folkuniversitetet.se;031-106500;YH00169;Arbetsmiljöingenjör;Göteborg, Lund, Oskarshamn, Örebro;Distans;Beviljat;35;
Folkuniversitetet Kursverksamheten vid Göteborgs universitet;Norra Allégatan 6;Box 2542;40317;Göteborg;yh.vast@folkuniversitetet.se;031-106500;YH00710;Energitekniker;Arvika, Karlstad;Bunden;Beviljat;25;
Folkuniversitetet Kursverksamheten vid Göteborgs universitet;Norra Allégatan 6;Box 2542;40317;Göteborg;yh.vast@folkuniversitetet.se;031-106500;YH01188;Teknikinformatör;Göteborg, Karlskoga, Linköping, Malmö, Stockholm;Distans;Beviljat;35;
Folkuniversitetet Kursverksamheten vid Göteborgs universitet;Norra Allégatan 6;Box 2542;40317;Göteborg;yh.vast@folkuniversitetet.se;031-106500;YH01589;Frontendutvecklare;Arvika, Karlstad;Bunden;Beviljat;30;
Folkuniversitetet Kursverksamheten vid Göteborgs universitet;Norra Allégatan 6;Box 2542;40317;Göteborg;yh.vast@folkuniversitetet.se;031-106500;YH01798;Mobilapplikationsutvecklare;Göteborg;Distans;Beviljat;35;
Folkuniversitetet Kursverksamheten vid Göteborgs universitet;Norra Allégatan 6;Box 2542;40317;Göteborg;yh.vast@folkuniversitetet.se;031-106500;YH01806;Mjukvaruutvecklare inriktning mobilitetstjänster;Göteborg, Karlstad, Luleå, Malmö, Stockholm, Sundsvall;Distans;Beviljat;35;
Folkuniversitetet Kursverksamheten vid Göteborgs universitet;Norra Allégatan 6;Box 2542;40317;Göteborg;yh.vast@folkuniversitetet.se;031-106500;YH02007;Drifttekniker kraft- värmeproduktion;Göteborg;Bunden;Beviljat;26;
Folkuniversitetet Kursverksamheten vid Göteborgs universitet;Norra Allégatan 6;Box 2542;40317;Göteborg;yh.vast@folkuniversitetet.se;031-106500;YH02043;Specialistundersköterska inom neurologi, neurokirurgi och neurointensivvård;Göteborg;Distans;Beviljat;30;
Folkuniversitetet Kursverksamheten vid Göteborgs universitet;Norra Allégatan 6;Box 2542;40317;Göteborg;yh.vast@folkuniversitetet.se;031-106500;YH02442;Specialist inom nätverkssäkerhet;Göteborg;Bunden;Beviljat;35;
Formakademin i Lidköping AB;Fabriksgatan 4, entré 6;Fabriksgatan 4;53130;Lidköping;info@formakademin.se;0510-24800;YH01031;Designmodellör;Lidköping;Bunden;Beviljat;8;
Formakademin i Lidköping AB;Fabriksgatan 4, entré 6;Fabriksgatan 4;53130;Lidköping;info@formakademin.se;0510-24800;YH01925;Produktionsdrejare;Lidköping;Bunden;Startat;8;9
Forsbergs Skola;Stockholm;Skinnarviksringen 6;11727;Stockholm;info@forsbergsskola.se;86523940;YH01072;Forsbergs, Spelutvecklare – Game Programming;Stockholm;Bunden;Beviljat;35;
Forshaga kommun, Forshaga Yrkeshögskola;Malmgatan 2A;Box 93;66722;Forshaga;yrkeshogskola@forshaga.se;054-17 20 00;YH00556;Specialistundersköterska inom vård och omsorg av äldre;Forshaga;Distans;Beviljat;25;
ForshagaAkademin AB;Industrileden 5 B;Industrileden 5 B;66732;Forshaga;info@forshagaakademin.se;054-536100;YH00316;Fiske- och jaktguide;Forshaga;Bunden;Beviljat;23;
Futuregames AB;Hammarby fabriksväg 61;Hammarby fabriksväg 61;12030;Stockholm;christina.rehn@cmeducations.se;46101421048;YH00394;Futuregames Game Programmer;Stockholm;Bunden;Beviljat;35;
Futuregames AB;Hammarby fabriksväg 61;Hammarby fabriksväg 61;12030;Stockholm;christina.rehn@cmeducations.se;46101421048;YH00788;Agile Project Manager ;Stockholm;Bunden;Beviljat;30;
